"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","35/1022","217/9446",0.161290322580645,1.49075184647434,2.54730962272971,0.0100271653699062,0.0276484623635093,0.0152858904836519,"90993/9586/896/4609/5894/604/5295/3326/6774/6777/6776/688/6196/196883/2475/7422/114/8503/182/5567/2941/27006/5290/5604/3717/5293/6655/3725/1385/64764/4893/54567/5970/3320/5595",35
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","11/1022","47/9446",0.234042553191489,2.16317608360744,2.78433071357624,0.0100912785481058,0.0276484623635093,0.0152858904836519,"8660/5295/5581/2475/8503/5602/8651/5290/5293/3667/5595",11
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","10/1022","41/9446",0.24390243902439,2.25430767027827,2.80339217262842,0.0103338841777091,0.0280848303861932,0.0155271434588668,"4128/6470/6472/26227/29968/23464/113675/4129/102724560/55349",10
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","21/1022","115/9446",0.182608695652174,1.68779035139964,2.58468816636997,0.0110669745886019,0.0298365634908706,0.0164956168604845,"90993/9586/9943/5894/196883/114/11214/1026/5567/4324/5604/2768/1591/4205/3709/1385/64764/23236/6446/5595/4209",21
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","11/1022","48/9446",0.229166666666667,2.11810991519896,2.70492138247791,0.011847247597243,0.031686686033896,0.0175184864219884,"18/224/4329/316/587/219/5019/35/56922/3157/217",11
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","13/1022","62/9446",0.209677419354839,1.93797740041664,2.5808423093915,0.013886314004314,0.0368479355862506,0.0203719650125452,"3516/7088/23013/182/3955/5663/3066/6868/7090/342371/4851/54567/3714",13
"hsa00071","Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","10/1022","43/9446",0.232558139534884,2.14945615073044,2.6312412453483,0.0144986371701563,0.0378908783402573,0.0209485724386242,"2180/224/125/1374/219/35/10455/130/128/217",10
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","14/1022","69/9446",0.202898550724638,1.87532261266627,2.54172163288293,0.0145042234596237,0.0378908783402573,0.0209485724386242,"5894/5321/5295/5881/8503/5602/5290/5604/5336/5293/6655/5606/4893/5595",14
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","9/1022","37/9446",0.243243243243243,2.24821494684508,2.6496331976251,0.0149190635843124,0.0386748032916406,0.0213819777686097,"4128/125/316/2184/4129/218/130/128/2954",9
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","23/1022","133/9446",0.172932330827068,1.59835498727249,2.42051168847746,0.015314045098562,0.0393956732688198,0.0217805221570548,"4128/90993/9586/59345/5500/2790/84152/815/3799/5567/5602/5516/801/2892/54331/2783/2890/3709/4129/1385/5499/64764/23236",23
"hsa00920","Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","4/1022","10/9446",0.4,3.69706457925636,2.97210829136932,0.0167547971507098,0.042775504846888,0.0236491155954995,"7263/58472/4357/8991",4
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","11/1022","51/9446",0.215686274509804,1.9935152143049,2.47786971616079,0.0185219245165795,0.0469314929480248,0.0259468194652519,"9414/60/9114/5567/5336/375/71/10312/29927/55176/529",11
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","15/1022","78/9446",0.192307692307692,1.77743489387325,2.40134820792146,0.0187107544991809,0.0470561512404772,0.0260157387773371,"10423/3613/64419/4329/5728/9677/3632/5290/51763/5336/5293/253430/3707/23236/8871",15
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","24/1022","143/9446",0.167832167832168,1.55121590738029,2.31337213677651,0.0189911514079267,0.0474075409220096,0.026210010130238,"7048/488/5295/7042/8503/4982/4792/8878/5602/29760/8651/5468/5290/5604/5336/5293/3725/3709/814/1385/3459/5970/5595/1435",24
