symbol,log2FoldChange,padj,A_Sham_4,A_Sham_5,A_Sham_6,A_svd_4,A_svd_5,A_svd_6
Marcks,0.444,0.071,41.482,36.189,21.894,48.515,42.973,51.598
Marcksl1,0.044,0.885,13.739,22.103,25.094,12.723,20.392,29.979
Marcksl1-ps4,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Marco,-0.016,0.374,0.049,0.000,0.000,0.000,0.000,0.000
Marf1,0.283,0.275,9.582,6.176,6.595,9.754,12.331,7.154
Mark1,0.029,0.883,7.923,5.781,10.719,9.576,8.073,7.406
Mark2,0.203,0.240,19.230,12.225,19.419,20.653,20.112,20.654
Mark3,-0.033,0.862,10.286,20.746,16.467,16.331,13.647,15.195
Mark4,-0.131,0.712,17.514,8.749,29.850,14.669,18.656,14.974
Mars,0.021,0.953,14.000,9.660,29.629,18.861,18.265,17.248
Mars2,0.397,0.308,0.487,0.000,1.971,1.355,1.847,1.453
Marveld1,-0.199,0.467,32.853,24.218,51.227,22.762,28.117,34.909
Marveld2,-0.081,0.611,2.870,4.466,3.024,2.149,3.210,3.791
Marveld3,-0.477,0.207,1.740,2.657,6.004,2.218,1.053,0.697
Mas1,0.164,0.432,2.757,3.162,1.806,4.219,2.670,2.458
Masp1,0.165,0.736,0.751,0.000,3.356,1.095,2.269,1.960
Masp2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Mast1,0.126,0.752,4.723,2.628,10.099,5.737,8.759,5.492
Mast2,0.043,0.709,12.120,12.818,16.300,15.052,13.193,14.486
Mast3,-0.056,0.793,10.911,15.059,21.963,14.431,15.526,14.708
Mast4,0.282,0.133,9.370,6.314,9.259,12.271,10.693,9.599
Mastl,0.114,0.469,0.431,0.000,0.000,0.314,0.125,0.380
Mat1a,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Mat2a,0.221,0.256,25.725,31.593,20.142,35.278,24.487,34.059
Mat2b,-0.003,0.972,34.919,28.339,27.885,31.510,30.378,27.987
Matk,-0.195,0.529,37.264,30.318,67.893,28.947,34.254,44.916
Matn1,0.268,0.012,0.000,0.000,0.000,0.207,0.388,0.204
Matn2,0.122,0.559,7.955,4.751,6.891,9.262,6.974,5.937
Matn3,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Matn4,0.165,0.684,10.914,12.693,29.576,18.843,16.079,27.307
Matr3,0.109,0.715,49.942,44.786,15.684,41.493,38.393,40.830
Mau2,0.000,0.998,13.012,9.622,12.076,13.436,11.611,9.325
Mavs,-0.398,0.052,9.527,17.067,13.231,8.496,7.269,6.665
Max,0.047,0.800,47.245,30.626,48.550,51.271,39.127,41.239
Maz,-0.137,0.412,67.005,50.963,81.905,55.168,59.210,56.629
Mb,0.307,0.374,0.000,0.000,0.000,0.000,0.918,0.000
Mb21d1,0.143,0.394,0.739,0.238,0.284,0.814,0.680,0.359
Mb21d2,-0.233,0.574,2.178,10.138,3.453,4.011,3.826,3.293
Mbd1,-0.109,0.390,20.086,27.926,28.010,20.581,20.691,25.320
Mbd2,0.091,0.548,51.362,50.864,57.689,55.287,47.049,70.737
Mbd3,-0.271,0.324,93.537,102.269,182.632,84.131,88.418,101.165
Mbd3l1,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Mbd3l2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Mbd4,0.153,0.554,1.519,2.740,0.689,2.559,1.771,1.716
Mbd5,0.004,0.990,6.711,2.555,3.810,5.293,3.291,4.450
Mbd6,-0.020,0.912,11.167,7.944,13.880,9.418,11.738,10.910
Mbip,0.104,0.448,7.457,5.673,4.762,6.352,6.214,7.269
Mbl1,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Mbl2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
Mblac1,-0.422,0.527,0.629,9.060,1.408,0.000,1.203,3.795
Mblac2,-0.152,0.643,5.325,9.993,2.627,5.641,4.921,3.893
Mbnl1,0.107,0.693,38.187,47.107,16.290,36.890,34.732,39.031
Mbnl2,0.097,0.631,36.598,34.975,18.583,31.133,36.115,30.438
Mbnl3,0.051,0.389,0.000,0.031,0.000,0.165,0.000,0.017
Mboat1,-0.242,0.606,4.549,6.095,0.192,4.309,1.821,1.179
Mboat2,-0.009,0.948,6.232,10.861,8.333,8.341,8.682,7.778
Mboat4,0.171,0.374,0.000,0.000,0.000,0.000,0.512,0.000
Mboat7,-0.130,0.374,36.665,58.195,55.769,40.811,43.050,45.109
Mbp,-0.206,0.628,306.218,993.872,337.070,445.567,451.980,368.254
Mbtd1,0.249,0.353,5.576,6.190,2.061,6.809,5.120,5.782
Mbtps1,-0.204,0.232,37.964,35.486,44.630,21.327,36.317,34.941
Mbtps2,-0.104,0.778,6.857,7.436,1.260,6.133,3.937,3.291
Mc1r,-0.014,0.965,1.207,2.829,0.243,1.425,1.187,1.464
Mc2r,0.050,0.374,0.000,0.000,0.000,0.000,0.149,0.000
Mc3r,-0.268,0.499,0.000,0.000,1.646,0.000,0.173,0.243
Mc4r,0.157,0.474,0.607,0.000,0.000,0.180,0.621,0.370
Mc5r,-0.657,0.299,0.543,8.507,1.479,0.972,0.584,0.000
Mcam,0.698,0.193,30.515,14.212,19.906,33.638,23.864,53.675
Mcat,-0.358,0.029,12.553,17.253,18.070,8.704,10.574,10.047
Mcc,0.041,0.857,19.753,9.164,17.663,16.716,17.246,14.404
Mccc1,-0.196,0.297,13.778,11.216,11.274,11.184,11.432,5.630
Mccc1os,-0.070,0.769,0.000,0.839,0.015,0.372,0.098,0.086
Mccc2,0.295,0.572,8.013,0.694,5.645,3.392,6.755,9.334
Mcee,0.276,0.444,25.090,10.301,18.841,18.563,31.808,19.316
Mcemp1,0.706,0.124,0.000,0.000,0.000,1.204,0.905,0.000
Mcf2,0.100,0.382,0.124,0.000,0.000,0.000,0.329,0.106
Mcf2l,-0.173,0.558,27.068,48.980,72.019,43.955,35.882,41.011
Mcfd2,-0.104,0.247,55.087,60.211,44.360,43.868,47.329,49.671
Mchr1,0.361,0.476,7.357,1.544,10.418,13.124,5.935,8.325
Mcidas,-0.013,0.374,0.040,0.000,0.000,0.000,0.000,0.000
Mcl1,0.144,0.412,60.930,39.381,58.791,61.568,53.500,66.102
Mcm10,0.018,0.932,0.000,0.040,0.747,0.226,0.296,0.335
Mcm2,0.053,0.866,6.483,2.048,7.367,5.022,4.748,7.094
Mcm3,0.142,0.485,6.454,3.660,3.985,4.474,5.635,6.269
Mcm3ap,-0.101,0.508,6.327,7.096,9.724,7.074,7.338,5.891
Mcm4,0.566,0.074,2.673,4.924,2.677,6.293,4.298,6.918
Mcm5,0.103,0.686,2.789,1.442,3.501,3.879,2.022,2.880
Mcm6,0.203,0.378,8.934,6.098,8.954,9.865,7.102,12.278
